,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
0,09/08/2019,Liverpool,Norwich,4,1,M Oliver
1,10/08/2019,West Ham,Man City,0,5,M Dean
2,10/08/2019,Bournemouth,Sheffield United,1,1,K Friend
3,10/08/2019,Burnley,Southampton,3,0,G Scott
4,10/08/2019,Crystal Palace,Everton,0,0,J Moss
5,10/08/2019,Watford,Brighton,0,3,C Pawson
6,10/08/2019,Tottenham,Aston Villa,3,1,C Kavanagh
7,11/08/2019,Leicester,Wolves,0,0,A Marriner
8,11/08/2019,Newcastle,Arsenal,0,1,M Atkinson
9,11/08/2019,Man United,Chelsea,4,0,A Taylor
10,17/08/2019,Arsenal,Burnley,2,1,M Dean
11,17/08/2019,Aston Villa,Bournemouth,1,2,M Atkinson
12,17/08/2019,Brighton,West Ham,1,1,A Taylor
13,17/08/2019,Everton,Watford,1,0,L Mason
14,17/08/2019,Norwich,Newcastle,3,1,S Attwell
15,17/08/2019,Southampton,Liverpool,1,2,A Marriner
16,17/08/2019,Man City,Tottenham,2,2,M Oliver
17,18/08/2019,Sheffield United,Crystal Palace,1,0,D Coote
18,18/08/2019,Chelsea,Leicester,1,1,O Langford
19,19/08/2019,Wolves,Man United,1,1,J Moss
20,23/08/2019,Aston Villa,Everton,2,0,M Oliver
21,24/08/2019,Norwich,Chelsea,2,3,M Atkinson
22,24/08/2019,Brighton,Southampton,0,2,K Friend
23,24/08/2019,Man United,Crystal Palace,1,2,P Tierney
24,24/08/2019,Sheffield United,Leicester,1,2,A Madley
25,24/08/2019,Watford,West Ham,1,3,C Kavanagh
26,24/08/2019,Liverpool,Arsenal,3,1,A Taylor
27,25/08/2019,Bournemouth,Man City,1,3,A Marriner
28,25/08/2019,Tottenham,Newcastle,0,1,M Dean
29,25/08/2019,Wolves,Burnley,1,1,C Pawson
30,31/08/2019,Southampton,Man United,1,1,M Dean
31,31/08/2019,Chelsea,Sheffield United,2,2,S Attwell
32,31/08/2019,Crystal Palace,Aston Villa,1,0,K Friend
33,31/08/2019,Leicester,Bournemouth,3,1,P Bankes
34,31/08/2019,Man City,Brighton,4,0,J Moss
35,31/08/2019,Newcastle,Watford,1,1,G Scott
36,31/08/2019,West Ham,Norwich,2,0,P Tierney
37,31/08/2019,Burnley,Liverpool,0,3,C Kavanagh
38,01/09/2019,Everton,Wolves,3,2,A Taylor
39,01/09/2019,Arsenal,Tottenham,2,2,M Atkinson
40,14/09/2019,Liverpool,Newcastle,3,1,A Marriner
41,14/09/2019,Brighton,Burnley,1,1,M Oliver
42,14/09/2019,Man United,Leicester,1,0,M Atkinson
43,14/09/2019,Sheffield United,Southampton,0,1,L Mason
44,14/09/2019,Tottenham,Crystal Palace,4,0,C Pawson
45,14/09/2019,Wolves,Chelsea,2,5,G Scott
46,14/09/2019,Norwich,Man City,3,2,K Friend
47,15/09/2019,Bournemouth,Everton,3,1,P Tierney
48,15/09/2019,Watford,Arsenal,2,2,A Taylor
49,16/09/2019,Aston Villa,West Ham,0,0,M Dean
50,20/09/2019,Southampton,Bournemouth,1,3,C Kavanagh
51,21/09/2019,Leicester,Tottenham,2,1,P Tierney
52,21/09/2019,Burnley,Norwich,2,0,D Coote
53,21/09/2019,Everton,Sheffield United,0,2,S Hooper
54,21/09/2019,Man City,Watford,8,0,M Dean
55,21/09/2019,Newcastle,Brighton,0,0,M Atkinson
56,22/09/2019,Crystal Palace,Wolves,1,1,S Attwell
57,22/09/2019,West Ham,Man United,2,0,A Taylor
58,22/09/2019,Arsenal,Aston Villa,3,2,J Moss
59,22/09/2019,Chelsea,Liverpool,1,2,M Oliver
60,28/09/2019,Sheffield United,Liverpool,0,1,A Taylor
61,28/09/2019,Aston Villa,Burnley,2,2,L Mason
62,28/09/2019,Bournemouth,West Ham,2,2,S Attwell
63,28/09/2019,Chelsea,Brighton,2,0,C Kavanagh
64,28/09/2019,Crystal Palace,Norwich,2,0,J Moss
65,28/09/2019,Tottenham,Southampton,2,1,G Scott
66,28/09/2019,Wolves,Watford,2,0,P Tierney
67,28/09/2019,Everton,Man City,1,3,M Oliver
68,29/09/2019,Leicester,Newcastle,5,0,C Pawson
69,30/09/2019,Man United,Arsenal,1,1,K Friend
70,05/10/2019,Brighton,Tottenham,3,0,J Moss
71,05/10/2019,Burnley,Everton,1,0,G Scott
72,05/10/2019,Liverpool,Leicester,2,1,C Kavanagh
73,05/10/2019,Norwich,Aston Villa,1,5,A Madley
74,05/10/2019,Watford,Sheffield United,0,0,A Marriner
75,05/10/2019,West Ham,Crystal Palace,1,2,M Oliver
76,06/10/2019,Arsenal,Bournemouth,1,0,M Atkinson
77,06/10/2019,Man City,Wolves,0,2,C Pawson
78,06/10/2019,Southampton,Chelsea,1,4,P Tierney
79,06/10/2019,Newcastle,Man United,1,0,M Dean
80,19/10/2019,Everton,West Ham,2,0,P Tierney
81,19/10/2019,Aston Villa,Brighton,2,1,D Coote
82,19/10/2019,Bournemouth,Norwich,0,0,L Mason
83,19/10/2019,Chelsea,Newcastle,1,0,A Marriner
84,19/10/2019,Leicester,Burnley,2,1,J Moss
85,19/10/2019,Tottenham,Watford,1,1,C Kavanagh
86,19/10/2019,Wolves,Southampton,1,1,P Bankes
87,19/10/2019,Crystal Palace,Man City,0,2,A Taylor
88,20/10/2019,Man United,Liverpool,1,1,M Atkinson
89,21/10/2019,Sheffield United,Arsenal,1,0,M Dean
90,25/10/2019,Southampton,Leicester,0,9,A Marriner
91,26/10/2019,Man City,Aston Villa,3,0,G Scott
92,26/10/2019,Brighton,Everton,3,2,A Madley
93,26/10/2019,Watford,Bournemouth,0,0,M Dean
94,26/10/2019,West Ham,Sheffield United,1,1,D Coote
95,26/10/2019,Burnley,Chelsea,2,4,M Oliver
96,27/10/2019,Newcastle,Wolves,1,1,K Friend
97,27/10/2019,Arsenal,Crystal Palace,2,2,M Atkinson
98,27/10/2019,Liverpool,Tottenham,2,1,A Taylor
99,27/10/2019,Norwich,Man United,1,3,S Attwell
100,02/11/2019,Bournemouth,Man United,1,0,C Kavanagh
101,02/11/2019,Arsenal,Wolves,1,1,M Oliver
102,02/11/2019,Aston Villa,Liverpool,1,2,J Moss
103,02/11/2019,Brighton,Norwich,2,0,K Friend
104,02/11/2019,Man City,Southampton,2,1,L Mason
105,02/11/2019,Sheffield United,Burnley,3,0,S Hooper
106,02/11/2019,West Ham,Newcastle,2,3,S Attwell
107,02/11/2019,Watford,Chelsea,1,2,A Taylor
108,03/11/2019,Crystal Palace,Leicester,0,2,P Tierney
109,03/11/2019,Everton,Tottenham,1,1,M Atkinson
110,08/11/2019,Norwich,Watford,0,2,A Marriner
111,09/11/2019,Chelsea,Crystal Palace,2,0,M Dean
