,Date,HomeTeam,AwayTeam,Referee
0,03/04/2021,Chelsea,West Bromwich Albion,J Moss
1,03/04/2021,Leeds,Sheffield United,S Attwell
2,03/04/2021,Leicester City,Man City,A Taylor
3,03/04/2021,Aston Villa,Fulham,M Dean
4,04/04/2021,Southampton,Burnley,D Coote
5,04/04/2021,Newcastle United,Tottenham Hotspur,C Kavanagh
6,04/04/2021,Arsenal,Liverpool,M Oliver
7,04/04/2021,Man United,Brighton and Hove Albion,M Atkinson
8,05/04/2021,Everton,Crystal Palace,A Marriner
9,05/04/2021,Wolves,West Ham United,P Tierney
